40:2:8|1|kai|G2532
40:2:8|2|pemyas|G3992
40:2:8|3|autous|G846
40:2:8|4|eis|G1519
40:2:8|5|bhqleem|G965
40:2:8|6|eipen|G3004
40:2:8|7|poreuqentes|G4198
40:2:8|8|exetasate|G1833
40:2:8|9|akribws|G199
40:2:8|10|peri|G4012
40:2:8|11|tou|G3588
40:2:8|12|paidiou|G3813
40:2:8|13|epan|G1875
40:2:8|14|de|G1161
40:2:8|15|eurhte|G2147
40:2:8|16|apaggeilate|G518
40:2:8|17|moi|G1473
40:2:8|18|opws|G3704
40:2:8|19|kagw|G2504
40:2:8|20|elqwn|G2064
40:2:8|21|proskunhsw|G4352
40:2:8|22|autw|G846
40:2:9|1|oi|G3588
40:2:9|2|de|G1161
40:2:9|3|akousantes|G191
40:2:9|4|tou|G3588
40:2:9|5|basilews|G935
40:2:9|6|eporeuqhsan|G4198
40:2:9|7|kai|G2532
40:2:9|8|idou|G3708
40:2:9|9|o|G3588
40:2:9|10|asthr|G792
40:2:9|11|on|G3739
40:2:9|12|eidon|G3708
40:2:9|13|en|G1722
40:2:9|14|th|G3588
40:2:9|15|anatolh|G395
40:2:9|16|prohgen|G4254
40:2:9|17|autous|G846
40:2:9|18|ews|G2193
40:2:9|19|elqwn|G2064
40:2:9|20|estaqh|G2476
40:2:9|21|epanw|G1883
40:2:9|22|ou|G3757
40:2:9|23|hn|G1510
40:2:9|24|to|G3588
40:2:9|25|paidion|G3813
40:2:10|1|idontes|G3708
40:2:10|2|de|G1161
40:2:10|3|ton|G3588
40:2:10|4|astera|G792
40:2:10|5|ecarhsan|G5463
40:2:10|6|caran|G5479
40:2:10|7|megalhn|G3173
40:2:10|8|sfodra|G4970
40:2:11|1|kai|G2532
40:2:11|2|elqontes|G2064
40:2:11|3|eis|G1519
40:2:11|4|thn|G3588
40:2:11|5|oikian|G3614
40:2:11|6|eidon|G3708
40:2:11|7|to|G3588
40:2:11|8|paidion|G3813
40:2:11|9|meta|G3326
40:2:11|10|marias|G3137
40:2:11|11|ths|G3588
40:2:11|12|mhtros|G3384
